rank,object_id,score,n_obs
1,ZTF19adbmugl,406306.750000,25
2,ZTF20aahglfm,172854.421875,39
3,ZTF24abdidhi,129090.828125,22
4,ZTF25aafsrzj,93947.679688,24
5,ZTF23aaetmwj,82644.773438,17
6,ZTF19abzvbra,73151.335938,91
7,ZTF23abigzui,58856.046875,18
8,ZTF24aajzmzf,56609.097656,16
9,ZTF21acjbgfb,50533.703125,13
10,ZTF22aaldswe,50267.363281,12
11,ZTF20aapcmur,44033.003906,29
12,ZTF22abgadoy,40024.585938,14
13,ZTF21abbwbja,32945.382812,16
14,ZTF24abcrdha,32234.929688,15
15,ZTF20aavpyul,32219.537109,28
16,ZTF24aayatox,29824.144531,23
17,ZTF24abuvjgs,28509.781250,10
18,ZTF22aaajoxo,28045.259766,24
19,ZTF20aausvfo,27288.033203,21
20,ZTF21aaopqqk,26204.318359,62
21,ZTF25acjfusz,25718.138672,16
22,ZTF18aaaluzq,22059.970703,190
23,ZTF17aaaqldq,21838.052734,52
24,ZTF20aaxkacr,21568.615234,73
25,ZTF24ablknkm,19530.343750,20
26,ZTF20aawkwvo,18013.611328,36
27,ZTF20aazgxgk,17485.289062,18
28,ZTF25abynqkd,17415.462891,24
29,ZTF19aatfbui,16630.343750,19
30,ZTF26aabjpnx,16097.079102,82
31,ZTF24aakbick,15761.030273,28
32,ZTF19achtewn,15721.991211,17
33,ZTF21abqinbv,15678.629883,19
34,ZTF18abtpmwm,15631.666992,1008
35,ZTF22aaafkvn,14196.721680,38
36,ZTF20abasqfx,14078.201172,26
37,ZTF19aavigow,13838.624023,286
38,ZTF22abreusl,13466.626953,17
39,ZTF20acmyxdb,12915.716797,16
40,ZTF18abuzlow,12723.486328,580
41,ZTF22aaaybuv,12488.177734,19
42,ZTF20abcsjtx,11960.779297,42
43,ZTF19abtnftd,11741.818359,33
44,ZTF21abizpri,10820.317383,21
45,ZTF21achducl,10605.560547,40
46,ZTF22aaaqwar,10543.143555,25
47,ZTF21aaaolgn,10538.413086,15
48,ZTF18acufqmy,10424.630859,502
49,ZTF21ackonrq,10138.688477,15
50,ZTF19aazqpyf,9632.299805,22
51,ZTF18acxajuq,9026.388672,1012
52,ZTF18aaavscr,8207.237305,1085
53,ZTF19aaraxhh,8059.552734,31
54,ZTF21abuwmgy,7910.617676,17
55,ZTF20abpyxja,7906.531250,98
56,ZTF20acimvwd,7636.708984,335
57,ZTF19abhvryy,6826.783691,255
58,ZTF25aanpudm,6797.729980,36
59,ZTF20acgpjmr,6688.354980,21
60,ZTF20acjkcvp,6595.359375,31
61,ZTF24aacbpej,6587.916504,14
62,ZTF24abdfude,6158.723145,18
63,ZTF23aatcbnx,5898.801758,21
64,ZTF23aaekevj,5767.935059,17
65,ZTF20absejzy,5707.196777,80
66,ZTF25aadjwhb,5583.868652,15
67,ZTF20aaknzba,5503.399414,18
68,ZTF20aatrkif,5499.251953,45
69,ZTF23abjeknq,5212.745605,51
70,ZTF18aabjfue,5163.879883,906
71,ZTF18admkuup,5142.715332,30
72,ZTF24aasfxgh,5124.763672,18
73,ZTF20abbpory,5111.418945,54
74,ZTF23aawcylw,4982.215820,18
75,ZTF25aawurka,4955.803223,35
76,ZTF18abimokp,4935.114746,768
77,ZTF17aaawcsc,4916.904785,886
78,ZTF17aabwdlv,4790.180176,247
79,ZTF23aakmqlj,4774.302246,31
80,ZTF23abaxsqc,4717.097168,24
81,ZTF23aboefhv,4623.036621,21
82,ZTF17aaabneq,4537.961426,332
83,ZTF21abahgst,4371.887207,34
84,ZTF20aatqbmw,4293.166992,23
85,ZTF20acyoltw,4287.884766,17
86,ZTF22aahyqyc,4281.602051,17
87,ZTF20aaflmou,4237.993164,23
88,ZTF22abjhwce,4210.301758,31
89,ZTF25abbzsku,4198.432617,64
90,ZTF23aajaaqm,4155.866699,41
91,ZTF18adhktfq,4099.602051,14
92,ZTF25aaohuyd,4083.452881,14
93,ZTF24abribzd,4070.880127,29
94,ZTF20acmgrww,4054.632812,384
95,ZTF22aaorwhj,4044.832275,85
96,ZTF20acwscli,4020.667236,19
97,ZTF22abqaqnn,3956.211426,18
98,ZTF21aaotidq,3945.151123,17
99,ZTF20aazkxbk,3914.062500,29
100,ZTF18acsyxii,3821.113770,1062
101,ZTF22aaddvjb,3794.373291,14
102,ZTF21aalxxzn,3496.968506,461
103,ZTF22aazhyxv,3411.518555,18
104,ZTF19aaxwbrc,3395.473877,42
105,ZTF24aaskiwk,3362.546631,15
106,ZTF23abdiuwh,3323.681641,51
107,ZTF18abijuhx,3282.938965,843
108,ZTF23aaiwwgd,3223.098633,35
109,ZTF18aawzjwz,3201.760254,14
110,ZTF21acipmgw,3073.938721,15
111,ZTF25abiolbr,3064.677246,16
112,ZTF21abgbieb,3001.266357,48
113,ZTF19abtriyg,2955.854492,21
114,ZTF22aaolwsd,2935.266113,193
115,ZTF21abkmnof,2926.590332,20
116,ZTF26aajwppp,2917.475586,26
117,ZTF20abkdhwc,2874.712646,38
118,ZTF24abhgjqn,2825.923584,39
119,ZTF22abedurs,2759.725830,62
120,ZTF25abdcdwd,2699.053223,42
121,ZTF23aacfiuv,2695.589355,22
122,ZTF20abafgpy,2670.527588,104
123,ZTF20acpocys,2643.669678,12
124,ZTF21aafkktu,2573.772949,61
125,ZTF26aajryzn,2525.712158,33
126,ZTF19aariszh,2508.006348,230
127,ZTF24aapebzb,2483.308594,48
128,ZTF20acwqqax,2471.825439,24
129,ZTF23aajakyp,2458.729004,16
130,ZTF23abvfroc,2419.926514,345
131,ZTF17aaagyqz,2414.489746,313
132,ZTF20abgbxaw,2407.919434,87
133,ZTF20abguygh,2407.638184,19
134,ZTF23aawxuzn,2399.459961,16
135,ZTF24aahdfdo,2346.599365,46
136,ZTF20aatqidk,2336.433350,50
137,ZTF25abvnewe,2272.125488,20
138,ZTF19abjpehh,2258.816895,175
139,ZTF21aahclyf,2247.732422,29
140,ZTF18abtimkh,2233.588135,669
141,ZTF20aaiwimq,2230.678467,37
142,ZTF23abjrdne,2105.167725,48
143,ZTF20aclgpfi,2086.542480,21
144,ZTF25abtjjmo,2053.146973,25
145,ZTF24abbvpge,2046.379272,64
146,ZTF21abtxxjk,2022.098755,21
147,ZTF24abgpade,2001.904419,17
148,ZTF21aaarhls,1997.480103,14
149,ZTF21abplnaw,1992.874878,13
150,ZTF24aavkgum,1992.725952,15
151,ZTF18acruytx,1930.135864,599
152,ZTF20acucbek,1916.477783,87
153,ZTF18abnbxsy,1899.968750,168
154,ZTF20aawkijt,1876.575806,17
155,ZTF21abhszjk,1856.618286,36
156,ZTF22abevczq,1835.722046,27
157,ZTF20abfbvma,1803.552734,37
158,ZTF25abazmpy,1794.311768,23
159,ZTF24aaidlza,1765.728882,20
160,ZTF21achkvva,1751.765259,22
161,ZTF18aawmeiw,1706.024902,60
162,ZTF24abccufc,1678.839478,66
163,ZTF21aavrywc,1677.556274,31
164,ZTF18abcmsob,1664.691406,550
165,ZTF18abclkuv,1610.952393,260
166,ZTF22aagtzoe,1587.476074,12
167,ZTF21aapfqdo,1542.056885,65
168,ZTF23aansfgo,1538.937866,40
169,ZTF22abjublk,1512.604370,30
170,ZTF20aavnnqo,1505.019165,39
171,ZTF22aaeasym,1484.264282,174
172,ZTF22aagnxqn,1484.264282,174
173,ZTF19abixauz,1483.910278,12
174,ZTF20aacwmhm,1474.945923,15
175,ZTF22aaksnrm,1466.855469,17
176,ZTF20acphsbv,1447.462402,16
177,ZTF20abobqca,1446.873779,268
178,ZTF20aaglivt,1431.244385,28
179,ZTF20abxezim,1427.919312,41
180,ZTF19acukrxv,1414.613281,15
181,ZTF21aacifqs,1378.563965,12
182,ZTF20abxwreg,1355.020630,27
183,ZTF22aammxli,1351.686035,371
184,ZTF19aamqebl,1346.781128,32
185,ZTF20abxkeuk,1344.903931,35
186,ZTF20abvyugu,1341.004395,40
187,ZTF21abbjybk,1332.538086,34
188,ZTF23aaquolj,1329.400635,84
189,ZTF20aaavvlv,1320.320923,160
190,ZTF19abajuqh,1315.048462,25
191,ZTF19acxhkvc,1314.206299,25
192,ZTF21aackavs,1313.431763,12
193,ZTF23aatdebe,1307.288330,20
194,ZTF18absixwd,1295.437744,500
195,ZTF21acjnmyu,1295.436279,13
196,ZTF19aapdxwy,1285.968750,646
197,ZTF18abcjnpa,1259.559814,86
198,ZTF21abbtahd,1255.071411,22
199,ZTF18acvegwz,1242.055786,836
200,ZTF26aatvsoq,1233.889160,50
201,ZTF18aaywchl,1222.635864,1533
202,ZTF26aajqcae,1212.983521,23
203,ZTF22aaqlfwe,1210.636475,20
204,ZTF19abymvoy,1206.843872,100
205,ZTF19aaphrlo,1197.701904,1661
206,ZTF19aauojsf,1194.743774,753
207,ZTF18abusgof,1194.460938,970
208,ZTF21aaugbus,1190.802856,46
209,ZTF24aahdfsy,1189.465210,16
210,ZTF20abpeyat,1165.865112,84
211,ZTF22abfwthv,1149.932617,27
212,ZTF20abbpkng,1142.373901,30
213,ZTF22aahygkd,1141.821167,28
214,ZTF18abeoogj,1112.139648,601
215,ZTF20abjwuju,1108.929688,37
216,ZTF20acjfimy,1098.061768,29
217,ZTF19abpnrrf,1084.189697,17
218,ZTF24ablkgwk,1080.216064,30
219,ZTF26aarbnfm,1076.417480,72
220,ZTF21aawtazf,1067.193237,44
221,ZTF22aamnfza,1051.760742,53
222,ZTF18aajkivu,1041.120972,156
223,ZTF21abcdxcs,1040.460083,33
224,ZTF22aagdejc,1034.942627,17
225,ZTF23aadcbdn,1032.842163,19
226,ZTF23aazfbwj,1020.907715,35
227,ZTF20ablhdvr,1018.502075,54
228,ZTF24aaxadom,1000.347534,56
229,ZTF18abnnyvp,989.376404,543
230,ZTF22aarqvtd,989.248840,27
231,ZTF21abrhtpk,978.885559,17
232,ZTF19aakkhrh,978.577759,121
