epoch,train_loss,val_loss,lr,epoch_time_s
1,576.7933324241009,351.0238104427562,0.0003,5.3
2,509.5638100636674,389.6956173952888,0.0003,3.7
3,422.0314370350476,339.3757801055908,0.0003,3.6
4,499.5027683056621,389.17954433665557,0.0003,3.5
5,395.282536157287,444.1623551985797,0.0003,3.5
6,362.76446445861666,412.7678703700795,0.0003,3.4
7,392.2170995705985,401.53567572201,0.0003,3.5
8,398.8649996814161,328.97859999712773,0.0003,3.6
9,347.85063597943525,330.06486213908477,0.0003,3.4
10,339.814352195255,428.1711812299841,0.0003,4.6
11,393.05902735077507,324.1543063556447,0.0003,3.6
12,337.63458214577275,430.4828317866606,0.0003,3.4
13,471.55079806519814,299.14070578182447,0.0003,3.3
14,387.8877289633546,302.1406865400427,0.0003,3.3
15,352.5082093465446,254.06589867086973,0.0003,3.3
16,355.30138873267094,290.5657481305739,0.0003,3.4
17,412.1059493050717,262.95754572924443,0.0003,3.3
18,403.9546766973565,297.13829744563384,0.0003,3.4
19,351.9630030720147,297.52990851682773,0.0003,3.4
20,335.6364605592029,270.9243607521057,0.0003,4.5
21,348.574323147437,249.40070480458877,0.0003,3.3
22,397.246880520295,382.4899331822115,0.0003,3.3
23,411.23017917450505,354.20255341249356,0.0003,3.3
24,364.3380222572352,273.5262156093822,0.0003,3.4
25,349.35750882775085,347.32241338842056,0.0003,3.5
26,380.7757164542825,251.7767130206613,0.0003,3.4
27,321.1633840826872,286.4950867680942,0.00015,3.4
28,318.887378787837,278.9046763532302,0.00015,3.4
29,334.61951251391923,261.74807324128994,0.00015,4.5
30,337.56666679272166,317.7883683092454,0.00015,3.5
31,328.22130766953575,284.92427152745864,0.00015,3.4
32,346.26718118875334,247.7080588901744,0.00015,3.4
33,255.5402545574868,358.84479057087617,0.00015,3.4
34,297.20139704915164,240.26771590288948,0.00015,3.5
35,284.0308977762858,263.2020200841567,0.00015,3.5
36,314.02346791292575,267.7300320232616,0.00015,3.5
37,306.2914902518685,203.43068925072166,0.00015,3.4
38,298.40046769400243,228.8008594793432,0.00015,3.5
39,295.4230395968598,191.39587978755728,0.00015,4.4
40,311.3020071605645,237.31553602218628,0.00015,3.4
41,299.9424495350803,212.9164886334363,0.00015,3.4
42,322.0434427576096,222.36025347429162,0.00015,3.4
43,298.03940498789547,214.15136962778428,0.00015,3.3
44,301.4486666874524,245.87850096646477,0.00015,3.4
45,313.9921919072028,203.4461937231176,7.5e-05,3.6
46,265.06925578715385,227.87172839220833,7.5e-05,3.5
47,253.99696782713283,208.8485865873449,7.5e-05,3.4
48,284.94656027583005,236.37648202391233,7.5e-05,4.5
49,273.073400123678,184.42339853679434,7.5e-05,3.4
50,276.9783309347952,254.67804183679468,7.5e-05,3.4
51,251.23802379334327,237.083892177133,7.5e-05,3.4
52,279.57896457568256,223.25986665837905,7.5e-05,3.4
53,251.137353816835,200.78750594924477,7.5e-05,3.4
54,263.8749917564612,211.94415263568655,7.5e-05,3.4
55,260.43726840821824,220.7296677757712,3.75e-05,3.3
56,253.47257699982168,225.93326938853545,3.75e-05,3.5
57,253.08025287480245,223.51602602005005,3.75e-05,4.5
58,254.83150436461167,216.4512550830841,3.75e-05,3.5
59,275.55320293203044,207.55649683054756,3.75e-05,3.4
60,260.71762925327414,229.2927392090068,3.75e-05,3.5
61,256.18892149405906,203.43201968249153,1.875e-05,3.4
62,257.1344079664438,206.2002298411201,1.875e-05,3.4
63,251.5362251906505,202.45025017682244,1.875e-05,3.4
64,267.14915581190155,214.56531040808733,1.875e-05,3.4
