objectId,classification,tns_type,z,ramean,decmean,glatmean,glonmean,anomaly_score,is_anomaly
ZTF19acrwotu,UNCLEAR,,,115.84646204615385,7.3840662538461554,14.889222283421631,212.17553253150496,4.473254,True
ZTF22aalxtmz,ORPHAN,,,184.4208413133333,19.368550719999995,79.03784362202508,256.20947154310977,4.1283846,True
ZTF19aczlqcd,UNCLEAR,SN,0.0,34.80044756153847,38.75575998461539,-20.99681160810312,141.11804342939868,3.7848163,True
ZTF24aalbxfh,ORPHAN,CV,0.0,160.79391655882353,82.68346549411764,33.25187786342526,127.56913393263044,3.7507222,True
ZTF24aapzmaf,SN,SN Ia,0.1,326.58017975000007,-7.318536483333333,-41.927069525527024,48.46284734506648,3.7328014,True
ZTF20acioekr,SN,,,302.68718261764707,3.978053470588235,-15.635506826605312,45.8958485173053,3.6175056,True
ZTF19abqstxq,SN,Varstar,,296.52064362772273,55.55030143564356,14.898649354282206,88.26526986685124,3.609015,True
ZTF18admhwsu,VS,,,288.09101583809525,79.12255716666667,25.624890318549834,110.9020172940862,3.5791144,True
ZTF18abmsaqj,VS,,,288.09099546818186,79.12255584090909,25.624893853331475,110.9020150650872,3.5573146,True
ZTF19aawgopm,SN,SN Ia,0.013,192.51174320909087,-14.766702245454546,48.10368783070877,302.4283835763716,3.5485847,True
ZTF23aazrtdy,SN,SN Ia,0.084,355.0657689933333,15.46414964,-44.03947098596834,98.74503361203084,3.52348,True
ZTF20aaytqhd,UNCLEAR,Varstar,,308.4062182153847,15.773109530769233,-14.205682778683949,59.34002813131332,3.4318326,True
ZTF19abzfgtf,ORPHAN,,,264.7261249444444,62.68240473333333,32.157473556015155,91.92365905783558,3.4261098,True
ZTF20aagqrbx,UNCLEAR,CV,0.0,99.744048025,59.06443838333333,21.48472119748427,156.41185023892794,3.3706226,True
ZTF19adaivcf,ORPHAN,SLSN-I,0.37,153.75467987317072,43.41491973780488,54.592710757514936,175.19062136429093,3.3387744,True
ZTF23aaeoggg,ORPHAN,,,141.7954769227273,77.64539735454545,34.40895201302738,134.5698657184368,3.330733,True
