rank,object_id,score,score_norm,n_obs
245,ZTF20aalbknf,29.915026,97.81,11
246,ZTF22aadqogw,25.165453,97.80,16
247,ZTF17aacpcfj,600.535339,97.78,188
248,ZTF23aabgybp,83.732384,97.77,36
249,ZTF21aawxqia,47.113331,97.77,19
250,ZTF22aaflcke,24.857737,97.76,16
251,ZTF18aacluoi,455.486816,97.75,410
252,ZTF23abhvrfk,28.885473,97.75,12
253,ZTF21acbfyew,89.509514,97.74,53
254,ZTF23abooocr,46.331448,97.74,26
255,ZTF23aajhosl,46.490501,97.73,20
256,ZTF21abbwbja,24.658348,97.71,16
257,ZTF21ackzzag,45.651211,97.69,24
258,ZTF19aaniqik,82.426819,97.68,42
259,ZTF21acqceqc,28.748119,97.68,13
260,ZTF20achfdib,46.122189,97.67,28
261,ZTF21acjeegy,23.926445,97.66,17
262,ZTF26aaqmtsv,165.415756,97.66,61
263,ZTF24aaksert,45.476112,97.65,21
264,ZTF21abawduv,690.386719,97.62,935
265,ZTF21accyynu,22.773903,97.62,14
266,ZTF22aagdgmp,27.638321,97.61,11
267,ZTF24abroqvu,173.957413,97.61,99
268,ZTF26aaeglkz,45.444084,97.61,22
269,ZTF18acapkcm,45.848621,97.60,29
270,ZTF21aamokak,78.475830,97.59,50
271,ZTF23aaekhyc,75.116920,97.59,33
272,ZTF24abtdxyg,22.661533,97.57,14
273,ZTF25abmkaii,41.867294,97.57,19
274,ZTF20aavtcaj,27.462051,97.55,13
275,ZTF23abifxlj,45.722668,97.53,31
276,ZTF18acgibgh,41.771904,97.53,22
277,ZTF24aaoovbv,22.230408,97.53,17
278,ZTF25aajzquy,72.173630,97.50,41
279,ZTF22aabbiok,41.745316,97.49,18
280,ZTF18abmjvgf,20.840029,97.48,15
281,ZTF19aciuhwi,26.811043,97.48,12
282,ZTF21aarjjsb,44.871979,97.46,25
283,ZTF18absqwyg,41.525517,97.45,21
284,ZTF23aaawdmv,74.993454,97.44,45
285,ZTF22aaprthg,20.666370,97.43,14
286,ZTF21abcnlpj,145.326706,97.42,69
287,ZTF20aaxckge,26.408052,97.41,12
288,ZTF19acobfoo,37.637077,97.41,22
289,ZTF22aagdkla,68.641830,97.40,34
