,objectId,decmean,decstd,ramean,rastd,glatmean,glonmean,jdgmax,gmag,dmdt_g,dmdt_g_2,mag_g02,mag_g08,mag_g28,maggmax,maggmean,maggmin,jdrmax,mag_r02,mag_r08,mag_r28,rmag,dmdt_r,dmdt_r_2,magrmax,magrmean,magrmin,jdmax,jdmin,ncand,ncandgp,distpsnr1,sgscore1,sgmag1,srmag1,htm16,g_minus_r,jd_g_minus_r,ncandgp_7,ncandgp_14,ssnamenr,dmdt_g_err,dmdt_r_err,z,classification,classificationReliability,distance,separationArcsec,tns_name,tns_type,host_name
11,ZTF17aadkjih,17.40851276,0.03786789331176814,96.88249676000001,0.05342361185017111,2.7508938086537817,194.75605932628622,2460979.8796412,18.9226,-0.0896463,0.0884033,18.8618,18.457,18.0321,18.9226,18.4046,17.741,2460979.946794,18.6863,18.241,17.8648,18.8164,-0.114443,0.122145,18.8164,18.2093,17.6291,2460979.946794,2460968.899213,10,10,0.146522,0.976625,17.9048,18.328,63208593950,0.106203,2460979.8796412,7.0,10.0,,0.0275138,0.0455342,,VS,1.0,0.0,0.139,2023bcg,,
12,ZTF17aadnfyi,33.483150083333335,0.11199682673800718,116.25240966666667,0.15130127561244253,25.05564056090168,186.52383727214,2461140.7339005,18.5919,1.01288,-0.628043,19.2496,19.0768,18.5789,20.2579,19.2368,18.1969,2461159.6754861,19.1284,19.106,18.993,19.1287,-0.0211144,,20.3604,19.172,18.115,2461159.6754861,2461129.7169792,12,10,0.143829,0.976875,18.3031,18.6986,63482607263,1.3779,2461137.7219907,1.0,1.0,,0.182817,0.0165952,,AGN,1.0,0.0,0.133,2021xmh,,
13,ZTF18aaaatda,64.5189726611111,0.29541329218738716,68.23981302777779,0.36415936785299896,11.192323928470353,144.08760662476678,2461055.6597801,20.4923,,,20.4872,20.3988,19.9312,20.4923,19.6848,19.1569,2461055.7983449,19.9484,19.909,19.4587,19.9355,,,20.065,19.365,18.7303,2461055.7983449,2461026.6950347,18,10,0.561313,0.746024,20.3168,21.6193,66405285130,0.275599,2461030.7144097,,,,,,,SN,2.0,0.0,0.5,2020aadz,,
14,ZTF18aaakwan,10.34559501,0.057994748590773734,87.35719469,0.1263503021924428,-8.749690103521148,196.4917020297581,2460975.9271296,19.5291,-0.0761997,0.0896569,19.4578,19.0573,18.5092,19.5291,18.9425,18.0817,2460977.9568981,19.5569,19.1217,18.63,19.6889,-0.156155,0.108332,19.6889,18.9751,18.2496,2460977.9568981,2460961.9603472,10,10,0.155314,0.883,21.3577,21.2242,64660948077,0.160801,2460975.9271296,4.0,8.0,,0.0867798,0.0861068,,VS,1.0,0.0,0.183,2024ioj,,
15,ZTF18aaaqgyc,19.11842750909091,0.17698574432026076,194.7679889181818,0.142516837947959,81.80060310280793,315.6782781640406,2458642.6965046,19.644,0.0849611,-0.0220901,226905.0,36.912,21.3822,20.2372,19.61,19.1907,2458642.7242245,302.399,21.7812,20.0517,18.9934,-0.0221448,0.0596501,19.7263,19.3234,18.9934,2458642.7242245,2458616.7251273,11,10,,,,,59035614270,0.1973,2458628.6899306,5.0,8.0,-999.0,-0.125825,-0.0293038,,NT,1.0,368.24,0.64,2019gtw,,
16,ZTF18aabefzb,43.377411431578956,0.30360686359956085,172.84319649999998,0.17302339506776446,67.0696534629935,162.61632987287527,2461039.0509491,19.7523,-0.0322614,0.269222,19.7376,18.7936,15.8367,19.7523,16.2061,12.5047,2461038.9922801,18.3559,17.9022,15.7306,18.357,-0.00508452,0.133727,18.357,15.5581,12.8781,2461039.0509491,2461010.0176505,19,10,0.600296,0.938342,18.0271,18.0342,63898838838,1.39532,2461039.0509491,1.0,7.0,,0.0350868,0.0116485,,CV,1.0,0.0,0.54,2018jhy,,
17,ZTF18aabfdrj,32.105492479999995,0.15021589455093534,56.31808674666666,0.13166008452111738,-17.750708077915178,160.64923087351215,2461086.6923843,19.0278,0.0475667,,19.0379,19.1666,19.2868,19.3602,19.194,19.0278,2461105.7393866,16.7494,17.2215,17.0971,16.6065,0.0320718,,18.0458,16.9048,16.2013,2461105.7393866,2461078.6301505,15,10,0.173462,0.949833,18.1706,16.3324,68511666527,2.8265,2461086.6923843,3.0,4.0,,0.021413,0.0204911,,VS,1.0,0.0,0.155,2021geh,,
18,ZTF18aabgpcg,41.78384364615385,0.07242804360343122,102.01869242307693,0.09299415030233699,17.103217728441802,174.19996472544526,2461061.7564236,15.8497,-0.727724,0.0561615,15.8061,15.7604,15.7436,15.8497,15.7937,15.7361,2461072.7390972,18.0142,17.0282,16.3018,18.2998,30.3821,0.523815,18.3898,16.7296,15.8415,2461072.7390972,2461059.7410301,13,10,0.172566,0.97375,21.3133,21.0114,63378274041,-0.0978003,2461061.7564236,3.0,10.0,,43.3738,55.0187,,CV,1.0,0.0,0.237,2021wxh,,
19,ZTF18aabhuow,21.35297788,0.10594298662954961,106.54160417333334,0.07843963733194491,12.66568102687074,195.22282357782268,2461108.7166319,19.4231,-6.6912,1.23457,18.2465,17.4311,17.1422,19.4231,18.2352,17.0124,2461108.6703472,18.496,17.8062,17.5701,19.505,0.462969,1.30949,19.5145,18.144,17.4653,2461108.7166319,2461105.6874884,15,10,0.0457137,0.823325,16.7395,-999.0,63113987980,-0.0819435,2461108.7166319,10.0,10.0,,17.7992,11.5996,,SN,2.0,0.0,0.058,2019eio,,
20,ZTF18aabhuow,21.35297788,0.10594298662954961,106.54160417333334,0.07843963733194491,12.66568102687074,195.22282357782268,2461108.7166319,19.4231,-6.6912,1.23457,18.2465,17.4311,17.1422,19.4231,18.2352,17.0124,2461108.6703472,18.496,17.8062,17.5701,19.505,0.462969,1.30949,19.5145,18.144,17.4653,2461108.7166319,2461105.6874884,15,10,0.0457137,0.823325,16.7395,-999.0,63113987980,-0.0819435,2461108.7166319,10.0,10.0,,17.7992,11.5996,,SN,2.0,0.0,0.058,2025anv,,
