objectId,tns_type,anomaly_score
ZTF19aawgopm,SN Ia,-0.6411263991226953
ZTF25aakqrzn,,-0.6349289130553472
ZTF25aaprgky,,-0.6229224216969041
ZTF17aaaikoz,,-0.612214933750746
ZTF20acpdrkt,,-0.611619525111767
ZTF18abcgnpe,,-0.6107171229941993
ZTF20acwobak,,-0.6096976458025497
ZTF24abroqvu,,-0.6065104173671546
ZTF26aaupgtw,SN Ia,-0.6063837345859808
ZTF24aaoovaa,,-0.6033493116311256
ZTF19abqstxq,Varstar,-0.6018051801817863
ZTF25aaumvgw,,-0.6016141433493114
ZTF25aafppkv,,-0.5997104635544761
ZTF22aankyer,,-0.5955005658724218
ZTF19adbqznr,,-0.5944967581783555
ZTF25aariocm,,-0.5931614247214977
ZTF18abcsatf,,-0.5930353997142097
ZTF18acufqmy,,-0.592647319939655
ZTF20acioekr,,-0.5924304169181015
ZTF20aakficj,,-0.5921424331536825
ZTF19abpsolj,,-0.5920047391976638
ZTF19achufoh,CV,-0.5908979409236378
ZTF26aaxhwhr,,-0.5899807323682215
ZTF26aaiedvz,SN II,-0.5882925292549739
ZTF22aaatvmn,,-0.5851449149515769
ZTF20aabbimu,,-0.5850272523868921
ZTF22aahgxdt,SN Ia-91bg-like,-0.5850178662279366
ZTF18aabgpcg,,-0.5843378657288227
ZTF26aasmsqg,SN Ia,-0.5840466981666479
ZTF20abzcokk,,-0.5835585335670166
ZTF20abvvsok,,-0.5831973716814877
ZTF19acrbzjr,,-0.5811797390291861
ZTF22aabhnru,,-0.5805405943262817
ZTF24aasehlg,,-0.5799841766660353
ZTF20aaurhdm,CV,-0.579944562606181
ZTF19achbhfc,,-0.5799271060708922
ZTF25abztjzq,,-0.5793277547842345
ZTF23aaiyexs,SN Ia,-0.5790680942940005
ZTF20ablyczu,,-0.5787746072812583
ZTF20abcdrsm,,-0.5766889285636994
ZTF18abnozzo,,-0.5761157596875949
ZTF21ackzzag,SN Ic-BL,-0.5751520549038703
ZTF25ackyfnb,SN II,-0.5745175190613254
ZTF25abccstt,,-0.573317062454149
ZTF25ackdapv,SN,-0.5731358700566577
ZTF22aahgubb,SN II,-0.5725403268511717
ZTF26aastceo,SN Ia,-0.5722601424482178
ZTF24aaosyhg,,-0.5722582064856312
ZTF20achdlqw,,-0.572244564898281
ZTF22abtegkn,CV,-0.5720825531652284
ZTF20acnvyjy,,-0.5710721574770328
ZTF22abpyjrz,CV,-0.5710474487053514
ZTF19aadotyo,,-0.5710125776557642
ZTF20aatpqir,,-0.5709937692107784
ZTF20aapchqy,SN II,-0.5689001138936962
ZTF24abluyyj,,-0.568898559731714
ZTF25abylsxg,CV,-0.5668833733668115
ZTF20aameqnr,,-0.5660856644666291
ZTF24aaesapj,,-0.5657307022688707
ZTF25acegldm,SN II,-0.5657217000131344
ZTF19abxzumq,,-0.5650178944205656
ZTF19abandzh,SN IIn,-0.5645995083578296
ZTF24abfvunx,CV,-0.5643980700673846
ZTF21abjdjhk,,-0.5638574136508602
ZTF24abnkwgp,,-0.5634114841057178
ZTF22abhfkar,,-0.5631813972012807
ZTF21aclywzw,,-0.5631191939625986
ZTF18adqdtos,,-0.5628365008758514
ZTF20abwvhwm,,-0.5627075037881207
ZTF18abmfybu,,-0.5625972372335908
ZTF25achdubq,,-0.562465908195889
ZTF25abkwwde,,-0.5622308837303721
ZTF21acincqb,SN Ia-91bg-like,-0.5609735221841178
ZTF20acpkmtf,Nova,-0.5606510380781754
ZTF25aaduxhj,SN Ia-91T-like,-0.5606483245178812
ZTF23aabgybp,,-0.5601152675517447
ZTF26aaspkec,,-0.5598569406532711
ZTF21aazieut,SN Ia,-0.5597061431174045
ZTF24aabfncx,,-0.559430671280529
ZTF22aarqpev,,-0.5592353469911377
ZTF26aajsfri,,-0.5591924604082555
ZTF26aavbopf,,-0.5586181672020263
ZTF22abmchcy,,-0.5580777133200043
ZTF18aakpzqg,,-0.5579861060652556
ZTF20aaurgsj,,-0.5579700772075287
ZTF20acinuir,CV,-0.5578337272944828
ZTF22abvnzrz,,-0.5576747225118253
ZTF20aaghhlf,,-0.5573287343509165
ZTF23absjbyu,SN Ia,-0.5562130944066742
ZTF18abnpdqe,,-0.5556498423148176
ZTF23aaznguj,CV,-0.5549860735752833
ZTF25aaizwbd,,-0.5544311819404986
ZTF20acghodf,SN IIn,-0.5541610916427976
ZTF20acgddbm,,-0.5532742112427554
ZTF21aavqior,,-0.5530289056941473
ZTF19acbpxwt,SN Ia,-0.5529702066077954
ZTF18aabefzb,,-0.551964189070906
ZTF21abwqrra,CV,-0.5517092536592203
ZTF22aalfjze,,-0.551524057397276
ZTF21abuzuih,CV,-0.5511779715887538
